"species","size","range"
"Puma.concolor",37.01,36
"Herpailurus.yaguaroundi",2.59,24
"Leopardus.wiedii",3.2,21.75
"Leopardus.pardalis",7.9,24.5
"Oreailurus.jacobita",3.99,1.75
"Oncifelis.colocolo",2.99,6.25
"Oncifelis.guigna",2.23,1.25
"Oncifelis.geoffroyi",3.8,4.75
"Leopardus.tigrinus",2.19,20.25
"Lynx.rufus",11.2,13.5
"Lynx.canadensis",10.1,15.5
"Panthera.onca",90.03,25.25
"Urocyon.cinereoargenteus",3.69,14.25
"Vulpes.velox",3,4
"Vulpes.vulpes",5.6,27
"Speothos.venaticus",6,16.5
"Chrysocyon.brachyurus",23.74,5.5
"Cerdocyon.thous",5.8,15.5
"Atelocynus.microtis",7,6
"Pseudalopex.vetulus",2.75,2.25
"Pseudalopex.sechurae",2.19,0.25
"Pseudalopex.gymnocercus",4.75,1
"Pseudalopex.griseus",3.9,3.75
"Pseudalopex.culpaeus",7.39,2
"Canis.latrans",12.75,27
"Canis.lupus",43.25,27.7
"Tremarctos.ornatus",199.98,1.5
"Ursus.americanus",77.5,17.75
"Ursus.arctos",266.5,16.75
"Potos.flavus",2.99,14.5
"Bassariscus.pauli",1.58,0.12
"Bassariscus.lasius",1.58,0.12
"Bassariscus.gabbii",1.25,0.75
"Bassariscus.beddardi",1.25,1
"Bassariscus.alleni",1.25,5.75
"Bassariscus.sumichrasti",1.05,1.25
"Bassariscus.astutus",0.92,6
"Nasuella.olivacea",1.38,0.5
"Nasua.nasua",4.05,19.75
"Nasua.narica",8.81,4.5
"Procyon.lotor",6.3,17
"Procyon.cancrivorus",8.8,21
"Spilogale.pygmaea",0.57,0.25
"Spilogale.putorius",0.57,6.5
"Mephitis.mephitis",2.3,19.75
"Mephitis.macroura",0.96,3.5
"Conepatus.semistriatus",3.99,4.5
"Conepatus.humboldtti",0.54,1.25
"Conepatus.mesoleucus",2.8,3
"Conepatus.leuconotus",1.8,0.5
"Conepatus.chinga",1.85,3.5
"Pteronura.brasiliensis",26.5,14.5
"Lontra.canadensis",9.35,17
"Lontra.longicaudis",5.8,18.75
"Lontra.provocax",4.21,1.75
"Taxidea.taxus",7.65,12.25
"Lyncodon.patagonicus",1.05,0.75
"Galictis.vittata",3.2,17.75
"Galictis.cuja",1.6,5.5
"Eira.barbara",3.9,20
"Gulo.gulo",20.75,15
"Martes.pennanti",3.37,5.5
"Martes.americana",0.63,16.75
"Mustela.vison",1.07,21.5
"Mustela.felipei",0.38,0.25
"Mustela.africana",0.22,5.25
"Mustela.nivalis",0.04,15.75
"Mustela.frenata",0.21,20
"Mustela.erminea",0.09,20.25
"Mustela.nigripes",0.51,3.5
